INFO buildroot.py:667:  Mock Version: 6.6
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64/root
DEBUG file_util.py:21:  created dir: /var/lib/mock/rocky-10-aarch64/root
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap
DEBUG file_util.py:21:  created dir: /var/lib/mock/rocky-10-aarch64-bootstrap
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap/root
DEBUG file_util.py:21:  created dir: /var/lib/mock/rocky-10-aarch64-bootstrap/root
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap/results
DEBUG file_util.py:21:  created dir: /var/lib/mock/rocky-10-aarch64-bootstrap/results
INFO buildroot.py:318:  calling preinit hooks
DEBUG file_util.py:18:  ensuring that dir exists: /var/cache/mock/rocky-10-aarch64-bootstrap/root_cache/
DEBUG file_util.py:21:  created dir: /var/cache/mock/rocky-10-aarch64-bootstrap/root_cache/
DEBUG file_util.py:18:  ensuring that dir exists: /var/cache/mock/rocky-10-aarch64-bootstrap/yum_cache
DEBUG file_util.py:18:  ensuring that dir exists: /var/cache/mock/rocky-10-aarch64-bootstrap/dnf_cache
INFO util.py:1071:  Guessed host environment type: unknown
INFO podman.py:113:  Using container image: quay.io/rockylinux/rockylinux:10
INFO podman.py:119:  Pulling image: quay.io/rockylinux/rockylinux:10
INFO podman.py:147:  Tagging container image as mock-bootstrap-e8f24dc9-5ed3-402e-9cea-37668f18a7f1
INFO podman.py:72:  Checking that 3576707ca307ac72c084267bd20f45a9b04eb5a509030f5583c41958c102f5a4 image matches host's architecture
INFO podman.py:214:  Copy content of container 3576707ca307ac72c084267bd20f45a9b04eb5a509030f5583c41958c102f5a4 to /var/lib/mock/rocky-10-aarch64-bootstrap/root
INFO podman.py:178:  mounting 3576707ca307ac72c084267bd20f45a9b04eb5a509030f5583c41958c102f5a4 with podman image mount
INFO podman.py:180:  image 3576707ca307ac72c084267bd20f45a9b04eb5a509030f5583c41958c102f5a4 as /var/lib/containers/storage/overlay/2fac4cf6ba169fd1a763465a0f3e7bfc58904409c85c74c3f1d081d0a7fc3011/merged
INFO podman.py:183:  umounting image 3576707ca307ac72c084267bd20f45a9b04eb5a509030f5583c41958c102f5a4 (/var/lib/containers/storage/overlay/2fac4cf6ba169fd1a763465a0f3e7bfc58904409c85c74c3f1d081d0a7fc3011/merged) with podman image umount
INFO podman.py:233:  Removing image mock-bootstrap-e8f24dc9-5ed3-402e-9cea-37668f18a7f1
DEBUG buildroot.py:723:  create skeleton dirs
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap/root/var/lib/rpm
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap/root/var/lib/yum
DEBUG file_util.py:21:  created dir: /var/lib/mock/rocky-10-aarch64-bootstrap/root/var/lib/yum
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap/root/var/lib/dbus
DEBUG file_util.py:21:  created dir: /var/lib/mock/rocky-10-aarch64-bootstrap/root/var/lib/dbus
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap/root/var/log
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap/root/var/cache/dnf
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap/root/var/cache/yum
DEBUG file_util.py:21:  created dir: /var/lib/mock/rocky-10-aarch64-bootstrap/root/var/cache/yum
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap/root/etc/rpm
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap/root/tmp
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64-bootstrap/root/tmp/ccache
